timestamp,event,key,keysym,keycode
2025-08-13T15:08:17.014,press,,Shift_L,50
2025-08-13T15:08:17.191,press,H,H,43
2025-08-13T15:08:17.283,release,,H,43
2025-08-13T15:08:17.287,release,,Shift_L,50
2025-08-13T15:08:19.714,press,i,i,31
2025-08-13T15:08:19.784,release,,i,31
2025-08-13T15:08:21.001,press, ,space,65
2025-08-13T15:08:21.072,release,,space,65
2025-08-13T15:08:22.372,press,e,e,26
2025-08-13T15:08:22.473,release,,e,26
2025-08-13T15:08:22.574,press,v,v,55
2025-08-13T15:08:22.665,release,,v,55
2025-08-13T15:08:22.748,press,e,e,26
2025-08-13T15:08:22.869,release,,e,26
2025-08-13T15:08:23.211,press,y,y,29
2025-08-13T15:08:23.275,release,,y,29
2025-08-13T15:08:24.413,press,,BackSpace,22
2025-08-13T15:08:24.484,release,,BackSpace,22
2025-08-13T15:08:25.010,press,r,r,27
2025-08-13T15:08:25.161,release,,r,27
2025-08-13T15:08:25.295,press,y,y,29
2025-08-13T15:08:25.366,release,,y,29
2025-08-13T15:08:25.832,press, ,space,65
2025-08-13T15:08:25.892,release,,space,65
2025-08-13T15:08:26.530,press,,BackSpace,22
2025-08-13T15:08:26.611,release,,BackSpace,22
2025-08-13T15:08:26.955,press,o,o,32
2025-08-13T15:08:27.016,release,,o,32
2025-08-13T15:08:27.251,press,n,n,57
2025-08-13T15:08:27.323,release,,n,57
2025-08-13T15:08:27.533,press,e,e,26
2025-08-13T15:08:27.665,release,,e,26
2025-08-13T15:08:29.091,press,.,period,60
2025-08-13T15:08:29.151,release,,period,60
2025-08-13T15:08:29.466,press, ,space,65
2025-08-13T15:08:29.537,release,,space,65
2025-08-13T15:08:29.933,press,,Shift_L,50
2025-08-13T15:08:30.390,press,I,I,31
2025-08-13T15:08:30.462,release,,I,31
2025-08-13T15:08:30.493,release,,Shift_L,50
2025-08-13T15:08:30.776,press,t,t,28
2025-08-13T15:08:30.857,release,,t,28
2025-08-13T15:08:32.222,press,',apostrophe,48
2025-08-13T15:08:32.273,release,,apostrophe,48
2025-08-13T15:08:32.477,press,s,s,39
2025-08-13T15:08:32.578,release,,s,39
2025-08-13T15:08:32.668,press, ,space,65
2025-08-13T15:08:32.739,release,,space,65
2025-08-13T15:08:33.432,press,m,m,58
2025-08-13T15:08:33.493,release,,m,58
2025-08-13T15:08:34.111,press,,BackSpace,22
2025-08-13T15:08:34.193,release,,BackSpace,22
2025-08-13T15:08:34.297,press,,Shift_L,50
2025-08-13T15:08:34.550,press,M,M,58
2025-08-13T15:08:34.631,release,,M,58
2025-08-13T15:08:34.662,release,,Shift_L,50
2025-08-13T15:08:34.865,press,u,u,30
2025-08-13T15:08:34.946,release,,u,30
2025-08-13T15:08:35.177,press,l,l,46
2025-08-13T15:08:35.248,release,,l,46
2025-08-13T15:08:35.321,press,l,l,46
2025-08-13T15:08:35.392,release,,l,46
2025-08-13T15:08:35.452,press,a,a,38
2025-08-13T15:08:35.593,release,,a,38
2025-08-13T15:08:35.734,press, ,space,65
2025-08-13T15:08:35.808,release,,space,65
2025-08-13T15:08:36.445,press,h,h,43
2025-08-13T15:08:36.516,release,,h,43
2025-08-13T15:08:36.607,press,e,e,26
2025-08-13T15:08:36.738,release,,e,26
2025-08-13T15:08:36.871,press,r,r,27
2025-08-13T15:08:36.942,release,,r,27
2025-08-13T15:08:37.052,press,e,e,26
2025-08-13T15:08:37.164,release,,e,26
2025-08-13T15:08:40.296,press,.,period,60
2025-08-13T15:08:40.360,release,,period,60
2025-08-13T15:08:40.693,press, ,space,65
2025-08-13T15:08:40.764,release,,space,65
2025-08-13T15:08:40.989,press,,Shift_L,50
2025-08-13T15:08:41.149,press,G,G,42
2025-08-13T15:08:41.230,release,,G,42
2025-08-13T15:08:41.234,release,,Shift_L,50
2025-08-13T15:08:41.666,press,l,l,46
2025-08-13T15:08:41.747,release,,l,46
2025-08-13T15:08:41.850,press,a,a,38
2025-08-13T15:08:42.032,release,,a,38
2025-08-13T15:08:42.192,press,d,d,40
2025-08-13T15:08:42.334,release,,d,40
2025-08-13T15:08:42.417,press,d,d,40
2025-08-13T15:08:42.528,release,,d,40
2025-08-13T15:08:43.371,press,,BackSpace,22
2025-08-13T15:08:43.442,release,,BackSpace,22
2025-08-13T15:08:43.723,press, ,space,65
2025-08-13T15:08:43.794,release,,space,65
2025-08-13T15:08:44.119,press,t,t,28
2025-08-13T15:08:44.250,release,,t,28
2025-08-13T15:08:44.310,press,o,o,32
2025-08-13T15:08:44.374,release,,o,32
2025-08-13T15:08:44.546,press, ,space,65
2025-08-13T15:08:44.607,release,,space,65
2025-08-13T15:08:45.042,press,p,p,33
2025-08-13T15:08:45.114,release,,p,33
2025-08-13T15:08:45.284,press,r,r,27
2025-08-13T15:08:45.389,release,,r,27
2025-08-13T15:08:45.549,press,a,a,38
2025-08-13T15:08:45.700,release,,a,38
2025-08-13T15:08:45.703,press,t,t,28
2025-08-13T15:08:45.781,release,,t,28
2025-08-13T15:08:46.186,press,i,i,31
2025-08-13T15:08:46.257,release,,i,31
2025-08-13T15:08:46.368,press,c,c,54
2025-08-13T15:08:46.484,release,,c,54
2025-08-13T15:08:48.304,press,e,e,26
2025-08-13T15:08:48.449,release,,e,26
2025-08-13T15:08:49.086,press, ,space,65
2025-08-13T15:08:49.136,release,,space,65
2025-08-13T15:08:49.461,press,t,t,28
2025-08-13T15:08:49.543,release,,t,28
2025-08-13T15:08:49.673,press,h,h,43
2025-08-13T15:08:49.744,release,,h,43
2025-08-13T15:08:49.959,press,i,i,31
2025-08-13T15:08:50.050,release,,i,31
2025-08-13T15:08:50.110,press,s,s,39
2025-08-13T15:08:50.231,release,,s,39
2025-08-13T15:09:24.598,press,,Shift_L,50
2025-08-13T15:09:24.721,press,H,H,43
